Wavelength,Intensity
3.217508849999999825e+02,9.923325671482465804e-01
3.218581848000000036e+02,1.027117294679668280e+00
3.219654540999999881e+02,1.012077357328645899e+00
3.220727539000000093e+02,9.717888281195647959e-01
3.221800536999999736e+02,9.658593187362889410e-01
3.222873839999999745e+02,9.042526062202919102e-01
3.223946837999999957e+02,9.180208648336104504e-01
3.225020142000000192e+02,8.535674033917253212e-01
3.226093445000000202e+02,9.215248271556822912e-01
3.227167053000000010e+02,8.229194398027610546e-01
3.228240356000000020e+02,9.185943586358786828e-01
3.229313965000000053e+02,8.834253176195373536e-01
3.230387572999999861e+02,9.472274192164380491e-01
3.231461181999999894e+02,9.157478604516575693e-01
3.232535095000000069e+02,9.663322253278964213e-01
3.233609008999999901e+02,9.670542655508087559e-01
3.234682922000000076e+02,9.684116066494948827e-01
3.235756835999999907e+02,9.450821401038128622e-01
3.236830749999999739e+02,9.623203666206429086e-01
3.237904968000000281e+02,9.845323168931230384e-01
3.238979186999999911e+02,9.882933765916300795e-01
3.240053406000000109e+02,1.027484603837903965e+00
3.241127930000000106e+02,9.926575651400207922e-01
3.242202148000000079e+02,1.000931119630247945e+00
3.243276672000000076e+02,9.841856387965189912e-01
3.244351196000000073e+02,9.503580263657550598e-01
3.245426024999999868e+02,9.432397278103684668e-01
3.246500548999999864e+02,8.752779258665843720e-01
3.247575378000000228e+02,9.209895611537887161e-01
3.248650208000000248e+02,8.826136891428942866e-01
3.249725037000000043e+02,9.341255554715027776e-01
3.250800171000000205e+02,9.031837158174115254e-01
3.251875304999999798e+02,9.718348365504353437e-01
3.252950438999999960e+02,9.715920440245232603e-01
3.254025573999999779e+02,9.500948676319406205e-01
3.255100707999999941e+02,9.230806244724287790e-01
3.256176146999999901e+02,9.590266230090775945e-01
3.257251587000000086e+02,9.657546601644513284e-01
3.258327026000000046e+02,9.879554770219809434e-01
3.259402466000000231e+02,9.839745835453811429e-01
3.260478209999999990e+02,9.986031265662256295e-01
3.261553954999999974e+02,1.005772750717938369e+00
3.262629699999999957e+02,9.781596832747894155e-01
3.263705444000000284e+02,9.770312334896394946e-01
3.264781494000000066e+02,9.785393137304719824e-01
3.265857543999999848e+02,9.483752703733107081e-01
3.266933594000000198e+02,9.437002051184689710e-01
3.268009643999999980e+02,8.781032189407148580e-01
3.269085999000000129e+02,9.281688551780087337e-01
3.270162048000000254e+02,8.627734792955593646e-01
3.271238402999999835e+02,9.066092680462584097e-01
3.272314757999999983e+02,9.010074680618354037e-01
3.273391417999999931e+02,9.229616382087946214e-01
3.274468079000000102e+02,9.395174501274810019e-01
3.275544434000000251e+02,9.546081647220914235e-01
3.276621398999999997e+02,9.473954046868315881e-01
3.277698058999999944e+02,9.307837571762417328e-01
3.278775024000000258e+02,9.426542417462118184e-01
3.279851684999999861e+02,9.856092602685316839e-01
3.280928954999999974e+02,9.400357594094600477e-01
3.282005919999999719e+02,9.859193532949216410e-01
3.283082886000000258e+02,9.581809710871000973e-01
3.284160155999999802e+02,9.964564067476732179e-01
3.285237427000000139e+02,9.485183738998341774e-01
3.286314697000000251e+02,9.651327554471195169e-01
3.287392272999999818e+02,9.228580950194197330e-01
3.288469848999999954e+02,9.241614170588453581e-01
3.289547423999999864e+02,8.498035170714993702e-01
3.290625000000000000e+02,9.140154497841785908e-01
3.291702576000000136e+02,8.803884158259315251e-01
3.292780457000000069e+02,9.573544750639929601e-01
3.293858336999999779e+02,9.135411441138933109e-01
3.294936218000000281e+02,9.412804288499532213e-01
3.296014099000000215e+02,9.651419807654356697e-01
3.297092284999999947e+02,9.347019086365759843e-01
3.298170165999999881e+02,9.143867664444231824e-01
3.299248352000000182e+02,9.387254179713715452e-01
3.300326843000000281e+02,9.463512803437702514e-01
3.301405029000000013e+02,9.634828789911840108e-01
3.302483520999999769e+02,9.730515633379491769e-01
3.303562011999999868e+02,9.768289533569070038e-01
3.304640502999999967e+02,9.746075829875144869e-01
3.305719298999999864e+02,9.862028804231056656e-01
3.306797791000000188e+02,1.001980287302787875e+00
3.307876587000000086e+02,9.704510971477713355e-01
3.308955382999999983e+02,9.480305482151980545e-01
3.310034484999999904e+02,9.366912933069208025e-01
3.311113280999999802e+02,9.235072900052745393e-01
3.312192382999999722e+02,9.466932571673254415e-01
3.313271483999999987e+02,9.015067597413022327e-01
3.314350585999999907e+02,9.252222170423638481e-01
3.315429993000000195e+02,8.988321750944582300e-01
3.316509093999999891e+02,9.354813311217169414e-01
3.317588501000000178e+02,8.980430239594293651e-01
3.318668213000000264e+02,9.614799933643809471e-01
3.319747619999999984e+02,9.321832140728159022e-01
3.320827332000000069e+02,9.549464643570224620e-01
3.321907042999999931e+02,1.001036534869202299e+00
3.322986755000000016e+02,9.637316068517740586e-01
3.324066467000000102e+02,9.804498693790429931e-01
3.325146483999999987e+02,9.740761136504213491e-01
3.326226196000000073e+02,9.721655512548076361e-01
3.327306518999999980e+02,1.000245742859662057e+00
3.328386535999999865e+02,9.516413734385499312e-01
3.329466552999999749e+02,9.365750729037785050e-01
3.330546875000000000e+02,9.193330533640857727e-01
3.331627197000000251e+02,9.491690878127034825e-01
3.332707520000000159e+02,8.973865108964991233e-01
3.333788147000000208e+02,9.408155755466716119e-01
3.334868468999999891e+02,9.019366184555067667e-01
3.335949097000000165e+02,9.641779430489240132e-01
3.337029724000000215e+02,9.415617197536622074e-01
3.338110656999999719e+02,9.437490736872428121e-01
3.339191283999999769e+02,9.272247299328445491e-01
3.340272216999999841e+02,9.621208724410572621e-01
3.341353149000000258e+02,9.555007123572361039e-01
3.342434081999999762e+02,9.679510701565435804e-01
3.343515320000000202e+02,9.816610502140471484e-01
3.344596252000000050e+02,9.951384733921363468e-01
3.345677489999999921e+02,1.001871095966780034e+00
3.346759033000000159e+02,9.831208715477253168e-01
3.347840271000000030e+02,9.827471012830116814e-01
3.348921814000000268e+02,9.616823802603876592e-01
3.350003356999999937e+02,9.551814189946795652e-01
3.351084900000000175e+02,9.613113721682070567e-01
3.352166442999999845e+02,9.860319284236602755e-01
3.353248290999999881e+02,9.726592324883412966e-01
3.354329834000000119e+02,9.040424551292710609e-01
3.355411682000000155e+02,9.485760241609824117e-01
3.356493834999999990e+02,9.543947307430078464e-01
3.357575684000000251e+02,9.315021097668508832e-01
3.358657837000000086e+02,9.327711806726207699e-01
3.359739989999999921e+02,9.612751416063960441e-01
3.360822143999999980e+02,9.439315694787957511e-01
3.361904296999999815e+02,9.569305131508164530e-01
3.362986755000000016e+02,9.834784340917871459e-01
3.364069213999999874e+02,9.652064579770477382e-01
3.365151672000000076e+02,9.800502239276227545e-01
3.366234130999999934e+02,9.878597684088488151e-01
3.367316589000000135e+02,9.790329292912860470e-01
3.368399352999999792e+02,9.637409389025899387e-01
3.369482117000000017e+02,9.336021243488238364e-01
3.370564880000000016e+02,9.750147626573643089e-01
3.371647949000000040e+02,9.013631926355905044e-01
