Wavelength,Intensity
3.217508849999999825e+02,9.637235071076356574e-01
3.218581848000000036e+02,9.711260707353494004e-01
3.219654540999999881e+02,9.867462523243801797e-01
3.220727539000000093e+02,1.012258665965966253e+00
3.221800536999999736e+02,9.851351105684311715e-01
3.222873839999999745e+02,9.504697556189136698e-01
3.223946837999999957e+02,9.818171341039085842e-01
3.225020142000000192e+02,9.131229059490327815e-01
3.226093445000000202e+02,9.519878716453266110e-01
3.227167053000000010e+02,9.688103629988455978e-01
3.228240356000000020e+02,9.504509203262053729e-01
3.229313965000000053e+02,8.862587861829281932e-01
3.230387572999999861e+02,9.439950264145158254e-01
3.231461181999999894e+02,9.530492675781430112e-01
3.232535095000000069e+02,9.538999791763151936e-01
3.233609008999999901e+02,9.247239546049614844e-01
3.234682922000000076e+02,9.568362030185035838e-01
3.235756835999999907e+02,9.601251725022561523e-01
3.236830749999999739e+02,9.573978966218261721e-01
3.237904968000000281e+02,9.607674728364875572e-01
3.238979186999999911e+02,9.728249917299083283e-01
3.240053406000000109e+02,9.529700277843882184e-01
3.241127930000000106e+02,1.007757366576828906e+00
3.242202148000000079e+02,9.691628470951771934e-01
3.243276672000000076e+02,9.841234381920977992e-01
3.244351196000000073e+02,9.572325794154787904e-01
3.245426024999999868e+02,9.656891511708495246e-01
3.246500548999999864e+02,9.827178385992608733e-01
3.247575378000000228e+02,9.644915538070919503e-01
3.248650208000000248e+02,9.273347563082305900e-01
3.249725037000000043e+02,9.680514448811106121e-01
3.250800171000000205e+02,9.270009729894999051e-01
3.251875304999999798e+02,9.495086058387566252e-01
3.252950438999999960e+02,9.195661833595274448e-01
3.254025573999999779e+02,9.836204235828976961e-01
3.255100707999999941e+02,9.220612167277445481e-01
3.256176146999999901e+02,9.869872193426034723e-01
3.257251587000000086e+02,9.268659147938268505e-01
3.258327026000000046e+02,9.765932416749147915e-01
3.259402466000000231e+02,9.311664018002507870e-01
3.260478209999999990e+02,9.705480260023300332e-01
3.261553954999999974e+02,9.688394462020346598e-01
3.262629699999999957e+02,1.001517967822340038e+00
3.263705444000000284e+02,9.797228591093434247e-01
3.264781494000000066e+02,9.838114562032570509e-01
3.265857543999999848e+02,9.957829807177767112e-01
3.266933594000000198e+02,9.936713196682640525e-01
3.268009643999999980e+02,9.710328121237932208e-01
3.269085999000000129e+02,9.865838964356773433e-01
3.270162048000000254e+02,9.242367578976422582e-01
3.271238402999999835e+02,9.366830119328793947e-01
3.272314757999999983e+02,9.472279300191451812e-01
3.273391417999999931e+02,9.259481708478991546e-01
3.274468079000000102e+02,9.645495037310792830e-01
3.275544434000000251e+02,9.681744557822816732e-01
3.276621398999999997e+02,9.440300024000507495e-01
3.277698058999999944e+02,9.704516002048271250e-01
3.278775024000000258e+02,9.405613119118384491e-01
3.279851684999999861e+02,9.609866835387227413e-01
3.280928954999999974e+02,9.498810627661605777e-01
3.282005919999999719e+02,9.551454197412345692e-01
3.283082886000000258e+02,9.734019287253090624e-01
3.284160155999999802e+02,9.778696186399981061e-01
3.285237427000000139e+02,9.941531131110257213e-01
3.286314697000000251e+02,9.732941702580165666e-01
3.287392272999999818e+02,9.412042077585214273e-01
3.288469848999999954e+02,9.668132132041251658e-01
3.289547423999999864e+02,9.634609642945489716e-01
3.290625000000000000e+02,9.458875352101266953e-01
3.291702576000000136e+02,9.431483446227753031e-01
3.292780457000000069e+02,9.770622284965718718e-01
3.293858336999999779e+02,8.987265612874592025e-01
3.294936218000000281e+02,9.610135477313475061e-01
3.296014099000000215e+02,9.026709226431052224e-01
3.297092284999999947e+02,9.695308437770828736e-01
3.298170165999999881e+02,9.219845607216418104e-01
3.299248352000000182e+02,9.473614421161474786e-01
3.300326843000000281e+02,9.341308388406994734e-01
3.301405029000000013e+02,9.624335687233273040e-01
3.302483520999999769e+02,9.696803210406150786e-01
3.303562011999999868e+02,9.644709816444980710e-01
3.304640502999999967e+02,9.929327333871880157e-01
3.305719298999999864e+02,1.016184548111490837e+00
3.306797791000000188e+02,9.926961409367790479e-01
3.307876587000000086e+02,9.917089892198092116e-01
3.308955382999999983e+02,9.847580492075774794e-01
3.310034484999999904e+02,9.892803692859989395e-01
3.311113280999999802e+02,9.734162266182567746e-01
3.312192382999999722e+02,9.904851256260458481e-01
3.313271483999999987e+02,9.375157041954335080e-01
3.314350585999999907e+02,9.676637125381134519e-01
3.315429993000000195e+02,9.235580129536626881e-01
3.316509093999999891e+02,9.310997087064949440e-01
3.317588501000000178e+02,9.384326099900627272e-01
3.318668213000000264e+02,9.498160040361051104e-01
3.319747619999999984e+02,9.300575017861552052e-01
3.320827332000000069e+02,9.588773443741357427e-01
3.321907042999999931e+02,9.764547390243645264e-01
3.322986755000000016e+02,9.916935333141767561e-01
3.324066467000000102e+02,9.745923245885015351e-01
3.325146483999999987e+02,9.919351926411932308e-01
3.326226196000000073e+02,9.832641737461698117e-01
3.327306518999999980e+02,9.895438948428618708e-01
3.328386535999999865e+02,9.552003357523889404e-01
3.329466552999999749e+02,9.576896415679438945e-01
3.330546875000000000e+02,9.687148689161245718e-01
3.331627197000000251e+02,9.981733252456873595e-01
3.332707520000000159e+02,9.738856115370906341e-01
