Wavelength,Intensity
3.217508849999999825e+02,9.962648967478943129e-01
3.218581848000000036e+02,1.032217298189845645e+00
3.219654540999999881e+02,1.023768263541681156e+00
3.220727539000000093e+02,1.037248922339089496e+00
3.221800536999999736e+02,1.002990388474238603e+00
3.222873839999999745e+02,9.660517756106237197e-01
3.223946837999999957e+02,9.919932800405069084e-01
3.225020142000000192e+02,8.954140942860662200e-01
3.226093445000000202e+02,9.718871945454657935e-01
3.227167053000000010e+02,9.196384276461118112e-01
3.228240356000000020e+02,9.559842105924545308e-01
3.229313965000000053e+02,9.333612469571143100e-01
3.230387572999999861e+02,9.316686059068881587e-01
3.231461181999999894e+02,9.259631488332409344e-01
3.232535095000000069e+02,9.736004148913455225e-01
3.233609008999999901e+02,9.435568993511915803e-01
3.234682922000000076e+02,9.624623806783909608e-01
3.235756835999999907e+02,9.473651647692785671e-01
3.236830749999999739e+02,9.836828016042631351e-01
3.237904968000000281e+02,9.683647120531134744e-01
3.238979186999999911e+02,1.019408905244422625e+00
3.240053406000000109e+02,1.042822194329551477e+00
3.241127930000000106e+02,1.014164603833130451e+00
3.242202148000000079e+02,1.043653312893218610e+00
3.243276672000000076e+02,1.008052676220736465e+00
3.244351196000000073e+02,9.975955794751569794e-01
3.245426024999999868e+02,9.868619561381349881e-01
3.246500548999999864e+02,9.683134237274377831e-01
3.247575378000000228e+02,9.498450795119935952e-01
3.248650208000000248e+02,9.780154607264526234e-01
3.249725037000000043e+02,9.712941556544979482e-01
3.250800171000000205e+02,8.913448860656503214e-01
3.251875304999999798e+02,9.501436759573069768e-01
3.252950438999999960e+02,9.258166433217972502e-01
3.254025573999999779e+02,9.590093400231265441e-01
3.255100707999999941e+02,9.805979876671975237e-01
3.256176146999999901e+02,9.794878240452059570e-01
3.257251587000000086e+02,9.660655465990226620e-01
3.258327026000000046e+02,9.821325191932707144e-01
3.259402466000000231e+02,9.960464826590912368e-01
3.260478209999999990e+02,9.972181729091181834e-01
3.261553954999999974e+02,1.025508244479522935e+00
3.262629699999999957e+02,1.023060148086159415e+00
3.263705444000000284e+02,1.041650519836501587e+00
3.264781494000000066e+02,1.029538193188030748e+00
3.265857543999999848e+02,9.803937896204583113e-01
3.266933594000000198e+02,1.014683699644311377e+00
3.268009643999999980e+02,9.851468101181019010e-01
3.269085999000000129e+02,9.850970211751888250e-01
3.270162048000000254e+02,9.591265782187422539e-01
3.271238402999999835e+02,9.724900126194807592e-01
3.272314757999999983e+02,9.373239485674762506e-01
3.273391417999999931e+02,9.593331791878274561e-01
3.274468079000000102e+02,9.762126323420660112e-01
3.275544434000000251e+02,9.529915305804975700e-01
3.276621398999999997e+02,9.684613817387008883e-01
3.277698058999999944e+02,9.608131349385239384e-01
3.278775024000000258e+02,9.413492699562430177e-01
3.279851684999999861e+02,1.003726362997122035e+00
3.280928954999999974e+02,9.986707114207777902e-01
3.282005919999999719e+02,1.016529134185129468e+00
3.283082886000000258e+02,1.019510371163260487e+00
3.284160155999999802e+02,1.021890681296618419e+00
3.285237427000000139e+02,9.868981354939136974e-01
3.286314697000000251e+02,9.923020202863731543e-01
3.287392272999999818e+02,9.971099134310188461e-01
3.288469848999999954e+02,9.670628674297530036e-01
3.289547423999999864e+02,9.773536329466540051e-01
3.290625000000000000e+02,9.666820506629603127e-01
3.291702576000000136e+02,9.490454441501703364e-01
3.292780457000000069e+02,9.719368702493123013e-01
3.293858336999999779e+02,9.303626634999888623e-01
3.294936218000000281e+02,9.618693919850657137e-01
3.296014099000000215e+02,9.735846831587757766e-01
3.297092284999999947e+02,9.806886468389166556e-01
3.298170165999999881e+02,9.620767085628273430e-01
3.299248352000000182e+02,9.642483172625524457e-01
3.300326843000000281e+02,9.761816902577729049e-01
3.301405029000000013e+02,1.008095856024464387e+00
3.302483520999999769e+02,9.883263457475033320e-01
3.303562011999999868e+02,1.001857202670634051e+00
3.304640502999999967e+02,1.039219286785478813e+00
3.305719298999999864e+02,1.020439310347775352e+00
3.306797791000000188e+02,1.043313947346681037e+00
3.307876587000000086e+02,1.009442341610234273e+00
3.308955382999999983e+02,9.883262612308766348e-01
3.310034484999999904e+02,9.859739284815446370e-01
3.311113280999999802e+02,9.825070478873504376e-01
3.312192382999999722e+02,9.959207942777715816e-01
3.313271483999999987e+02,9.685451009863595973e-01
3.314350585999999907e+02,9.673085480775750478e-01
3.315429993000000195e+02,9.756543252099794117e-01
3.316509093999999891e+02,9.474279696009625384e-01
3.317588501000000178e+02,9.416953735884205923e-01
3.318668213000000264e+02,9.525615508842705248e-01
3.319747619999999984e+02,9.975513712183815551e-01
3.320827332000000069e+02,9.910770001806272766e-01
3.321907042999999931e+02,9.897327051074482629e-01
3.322986755000000016e+02,1.007502266594463736e+00
3.324066467000000102e+02,9.981765999274753165e-01
3.325146483999999987e+02,1.035547415642174229e+00
3.326226196000000073e+02,1.034652485484059303e+00
