Wavelength,Intensity
7.445563269169639398e+02,9.534767261712523423e-01
7.444363329395589517e+02,9.662749411798158272e-01
7.443162708104982812e+02,9.504404081220756417e-01
7.441962478490627291e+02,9.688066192848038272e-01
7.440762099893947834e+02,9.616294896597897823e-01
7.439561577111620636e+02,9.595488036935018172e-01
7.438361441661244271e+02,9.584881802306501886e-01
7.437161162336117286e+02,9.523883111650659483e-01
7.435960735002028059e+02,9.513073208449167595e-01
7.434760168908780997e+02,9.499322814321933262e-01
7.433559985967481225e+02,9.489141122749166213e-01
7.432359660117506337e+02,9.506663803458679229e-01
7.431159191684978396e+02,9.556292590734893899e-01
7.429959110987111899e+02,9.566712417716476402e-01
7.428758358195958635e+02,9.571477098833387487e-01
7.427557993448473326e+02,9.517979354281898008e-01
7.426357482629570086e+02,9.445448562917723168e-01
7.425157359823339220e+02,9.375797098606837299e-01
7.423956566570986979e+02,9.343370611591070851e-01
7.422756161639373431e+02,9.348245874274592193e-01
7.421556144840159277e+02,9.349701592716110898e-01
7.420355987362943324e+02,9.332624370371220834e-01
7.419155156640541691e+02,9.340543490118520253e-01
7.417954718953678821e+02,9.328480619889042424e-01
7.416754665233662536e+02,9.305651886794749084e-01
7.415553943856268688e+02,9.285920998850694108e-01
7.414353611192947255e+02,9.280518116069166323e-01
7.413153139458538590e+02,9.280981860416409601e-01
7.411953051970257320e+02,9.292620954460807381e-01
7.410752298464811929e+02,9.288468030966798850e-01
7.409551938375306008e+02,9.288949830878072689e-01
7.408351435739587032e+02,9.279168523668717139e-01
7.407151322054003231e+02,9.301373372071299883e-01
7.405950543986068624e+02,9.312244045776040258e-01
7.404750150749304112e+02,9.332643034273586657e-01
7.403549624772628022e+02,9.318434955164786038e-01
7.402349483592731758e+02,9.326623833634801741e-01
7.401149205554734181e+02,9.310616765451174004e-01
7.399948790981017055e+02,9.286205244599884390e-01
7.398747714645858196e+02,9.267515283557683503e-01
7.397547553515177015e+02,9.267628382038269885e-01
7.396347252060464825e+02,9.219555670043062534e-01
7.395146819431960239e+02,9.176451339644738914e-01
7.393946247125738864e+02,9.141381140195807831e-01
7.392745539876801786e+02,9.152936466332899368e-01
7.391545747056879918e+02,9.174902029286808869e-01
7.390345294900396311e+02,9.188522399422440756e-01
7.389144708424018972e+02,9.220758334021157410e-01
7.387943983545185347e+02,9.261235760700375907e-01
7.386743648834916485e+02,9.290401627839834919e-01
7.385543708503689686e+02,9.320435764997909711e-01
7.384343106551614255e+02,9.373687773018659630e-01
7.383142367147306686e+02,9.392355534089422697e-01
7.381942022570999598e+02,9.386930237391613030e-01
7.380741545240077812e+02,9.377736546926098704e-01
7.379540931080982773e+02,9.377385003414839826e-01
7.378340707462567707e+02,9.363509956343327723e-01
7.377140351711508401e+02,9.336703671702616392e-01
7.375939864147287608e+02,9.323718352436151102e-01
7.374739245089232327e+02,9.308628506802172353e-01
7.373538490470195939e+02,9.348395219656399080e-01
7.372338652988787544e+02,9.403020831025954429e-01
7.371138158274513899e+02,9.443629687636645453e-01
7.369937533005171417e+02,9.470522267690427709e-01
7.368736777499353821e+02,9.475637895000897926e-01
7.367536413198729406e+02,9.485434931659163516e-01
7.366335918958665161e+02,9.471666194024431773e-01
7.365135290720992316e+02,9.446190137844042711e-01
7.363935053796794818e+02,9.442967614686740285e-01
7.362734691924034678e+02,9.394312911304535385e-01
7.361534196672060943e+02,9.364465702094701971e-01
7.360333568362738106e+02,9.362482381667036613e-01
7.359132816056179536e+02,9.370682581710861880e-01
7.357932455463097767e+02,9.348723588188678768e-01
7.356732482025490754e+02,9.338186084339600290e-01
7.355531861068049011e+02,9.315786725762602583e-01
7.354331112673179405e+02,9.270991360802808279e-01
7.353130756244902386e+02,9.243820820241470670e-01
7.351930272673406535e+02,9.259212126326367143e-01
7.350729662275111878e+02,9.278779582518378310e-01
7.349528921008480893e+02,9.314702842550507400e-01
7.348329090369420555e+02,9.327933742455856159e-01
7.347128619291929681e+02,9.317168603213851208e-01
7.345928017959487306e+02,9.305052775061658510e-01
7.344727286692046846e+02,9.322635720763502443e-01
7.343526952243056485e+02,9.314847475989951331e-01
7.342325970591231226e+02,9.320573753622720670e-01
7.341125903440812408e+02,9.295103073851979092e-01
7.339925189720760272e+02,9.255842587357177020e-01
7.338725385769123477e+02,9.217501812377620896e-01
7.337524423340620388e+02,9.160810160741806873e-01
7.336323849574105225e+02,9.090056048530927857e-01
7.335123672962441788e+02,9.066195040897127022e-01
7.333922851871883495e+02,9.087670155252688398e-01
7.332722428223779616e+02,9.135564553657976594e-01
7.331521877106951024e+02,9.169476848270191605e-01
7.330321198839593535e+02,9.212728459457628638e-01
7.329121433813006661e+02,9.258226566226254173e-01
7.327920514854401972e+02,9.334764052615589502e-01
7.326719985055563029e+02,9.374052057187632903e-01
7.325519333360454084e+02,9.382668239441740443e-01
7.324319079437658502e+02,9.407140058410548011e-01
7.323118180392609702e+02,9.448116721786704586e-01
7.321917679408152253e+02,9.477573052136373244e-01
7.320717057441667066e+02,9.467901617762436439e-01
7.319517339188115557e+02,9.446328531106003012e-01
7.318316475859157890e+02,9.398373959035005720e-01
7.317116002181036265e+02,9.368899162105136513e-01
7.315915408435865857e+02,9.361702065225836478e-01
7.314715208613348523e+02,9.323599290368157488e-01
7.313514371186165590e+02,9.282330569862672354e-01
7.312313932284653220e+02,9.266631159286420338e-01
7.311113369913749693e+02,9.254635072206826019e-01
7.309912688700100034e+02,9.245129461466592424e-01
7.308712914624904897e+02,9.233451505362005873e-01
7.307511996322438108e+02,9.228393909102522441e-01
7.306311472608690565e+02,9.230112540869355175e-01
7.305111338983926998e+02,9.239985961782217760e-01
7.303910579543055519e+02,9.227526410137860680e-01
7.302710210478520594e+02,9.186215512575097719e-01
7.301509212251719418e+02,9.174408642164171290e-01
7.300308608990492303e+02,9.209390668814730896e-01
7.299108396201817186e+02,9.229431172929021265e-01
7.297908070968983338e+02,9.219608239995148447e-01
7.296707629302202349e+02,9.187088636431162136e-01
7.295507067217182566e+02,9.187715142340135976e-01
7.294306389320261133e+02,9.193529181535480266e-01
7.293106106567961433e+02,9.209039244814178904e-01
7.291905708286119534e+02,9.241438429509452046e-01
7.290704680184520612e+02,9.242678514071360762e-01
7.289504562083142218e+02,9.246058595218700216e-01
7.288303814782568679e+02,9.216481517531152079e-01
7.287103972804641216e+02,9.220851838623290719e-01
7.285903506533030622e+02,9.223548433576437278e-01
7.284702926251047757e+02,9.225964565087567681e-01
7.283502227987036122e+02,9.229668569721891647e-01
7.282301420610174318e+02,9.240903789246873723e-01
7.281101004837439632e+02,9.243897974020945929e-01
7.279900475953315890e+02,9.256915978154862668e-01
7.278699834265419213e+02,9.312245458583741087e-01
7.277500097009320825e+02,9.346227849896681095e-01
7.276299230300535328e+02,9.366108927100914583e-01
7.275098755568524211e+02,9.345776929001771149e-01
7.273898168929040366e+02,9.329779254628912666e-01
7.272697474956128190e+02,9.321589120050123300e-01
7.271497173046369653e+02,9.338499568250443472e-01
7.270296248091673306e+02,9.350623008121140556e-01
7.269095724012217943e+02,9.342956862276452501e-01
7.267896103468752926e+02,9.314497582683640697e-01
7.266695353680514700e+02,9.299857145375399758e-01
7.265495000585312937e+02,9.286736672084724420e-01
7.264294030745584223e+02,9.252836149565636381e-01
7.263093457875417016e+02,9.203097568993914290e-01
7.261893281778020537e+02,9.163649464517211740e-01
7.260692485767084463e+02,9.143874831874643228e-01
7.259492091059297536e+02,9.145849909515139098e-01
7.258292088952980521e+02,9.151514813164344231e-01
7.257091472271706607e+02,9.135539833954016142e-01
7.255890747271187138e+02,9.134951851480578311e-01
7.254690415291751151e+02,9.166943948482915161e-01
7.253489979515194364e+02,9.204750092595930244e-01
7.252289431755158375e+02,9.236326097198712670e-01
7.251088780803773943e+02,9.263040037355635414e-01
7.249888523093069352e+02,9.307888949424532044e-01
7.248688158222885249e+02,9.345913454161192124e-01
7.247487682259363737e+02,9.380031728429992777e-01
7.246287103982812141e+02,9.430918833071664231e-01
7.245086415222824598e+02,9.472889839859024441e-01
7.243885620520352404e+02,9.470074327526756264e-01
7.242685731632317356e+02,9.463295123030375233e-01
7.241485224832113090e+02,9.469942809426465935e-01
7.240284616896550460e+02,9.470515606196441283e-01
7.239084407006533866e+02,9.449267829208971570e-01
7.237883584850906118e+02,9.457518405461782240e-01
7.236683161014904044e+02,9.453511072446170171e-01
7.235482632690614082e+02,9.473946918780005166e-01
7.234282502623141227e+02,9.503574944206724107e-01
7.233081766061745839e+02,9.506142411754369137e-01
7.231881428027511447e+02,9.495311983192250560e-01
7.230680982161161410e+02,9.440034431238559787e-01
