Wavelength,Intensity
7.445563269169639398e+02,9.433162161138148871e-01
7.444363329395589517e+02,9.390063782644533230e-01
7.443162708104982812e+02,9.438974625592362333e-01
7.441962478490627291e+02,9.435147363085083505e-01
7.440762099893947834e+02,9.421093127597915950e-01
7.439561577111620636e+02,9.430353296176134936e-01
7.438361441661244271e+02,9.452268641517078684e-01
7.437161162336117286e+02,9.414248241107106008e-01
7.435960735002028059e+02,9.424353422143129100e-01
7.434760168908780997e+02,9.429191444041773451e-01
7.433559985967481225e+02,9.423497559279752078e-01
7.432359660117506337e+02,9.414541906493583134e-01
7.431159191684978396e+02,9.413074234790469452e-01
7.429959110987111899e+02,9.408074017993212079e-01
7.428758358195958635e+02,9.387468381195056555e-01
7.427557993448473326e+02,9.344904811880979656e-01
7.426357482629570086e+02,9.291758617473587778e-01
7.425157359823339220e+02,9.246698959264118001e-01
7.423956566570986979e+02,9.239326790502881970e-01
7.422756161639373431e+02,9.249054621398727916e-01
7.421556144840159277e+02,9.258337026655580893e-01
7.420355987362943324e+02,9.246313655403972653e-01
7.419155156640541691e+02,9.254675743472778882e-01
7.417954718953678821e+02,9.264512139047712536e-01
7.416754665233662536e+02,9.270145555643433122e-01
7.415553943856268688e+02,9.272107480841846883e-01
7.414353611192947255e+02,9.290657351970859068e-01
7.413153139458538590e+02,9.294503193218512926e-01
7.411953051970257320e+02,9.309647972231882562e-01
7.410752298464811929e+02,9.288047424691479037e-01
7.409551938375306008e+02,9.286088997687503843e-01
7.408351435739587032e+02,9.278378717070727699e-01
7.407151322054003231e+02,9.296027438726173209e-01
7.405950543986068624e+02,9.313495812294921850e-01
7.404750150749304112e+02,9.331803767363288094e-01
7.403549624772628022e+02,9.332218846959714487e-01
7.402349483592731758e+02,9.347544516812189563e-01
7.401149205554734181e+02,9.338286960421856575e-01
7.399948790981017055e+02,9.321024585029358267e-01
7.398747714645858196e+02,9.318890369364442039e-01
7.397547553515177015e+02,9.322568294775537279e-01
7.396347252060464825e+02,9.292670201937087704e-01
7.395146819431960239e+02,9.264968821350328954e-01
7.393946247125738864e+02,9.240753679284754440e-01
7.392745539876801786e+02,9.223911489847261835e-01
7.391545747056879918e+02,9.209048562977866226e-01
7.390345294900396311e+02,9.194680044917293849e-01
7.389144708424018972e+02,9.189798064249328213e-01
7.387943983545185347e+02,9.185753249814383459e-01
7.386743648834916485e+02,9.191113374325043939e-01
7.385543708503689686e+02,9.213731886768761203e-01
7.384343106551614255e+02,9.246025028279980518e-01
7.383142367147306686e+02,9.261795807907116096e-01
7.381942022570999598e+02,9.253547198584959332e-01
7.380741545240077812e+02,9.235473895908012931e-01
7.379540931080982773e+02,9.234405634475643110e-01
7.378340707462567707e+02,9.242289466606500303e-01
7.377140351711508401e+02,9.236124170185568971e-01
7.375939864147287608e+02,9.224751556729269275e-01
7.374739245089232327e+02,9.191593292221567069e-01
7.373538490470195939e+02,9.197606113756255919e-01
7.372338652988787544e+02,9.222041407447632011e-01
7.371138158274513899e+02,9.242816831447400183e-01
7.369937533005171417e+02,9.238526578005171741e-01
7.368736777499353821e+02,9.216233766021464380e-01
7.367536413198729406e+02,9.197174992157122198e-01
7.366335918958665161e+02,9.181842940041594625e-01
