Wavelength,Intensity
7.445563269169639398e+02,1.061566111796876433e+00
7.444363329395589517e+02,1.062787239907100778e+00
7.443162708104982812e+02,1.060980442658222112e+00
7.441962478490627291e+02,1.063288333085040449e+00
7.440762099893947834e+02,1.061060497825842441e+00
7.439561577111620636e+02,1.061139608561155079e+00
7.438361441661244271e+02,1.071403894497902520e+00
7.437161162336117286e+02,1.072336637476392296e+00
7.435960735002028059e+02,1.072988942041423588e+00
7.434760168908780997e+02,1.074836764370765918e+00
7.433559985967481225e+02,1.073876930147241948e+00
7.432359660117506337e+02,1.071238027229827861e+00
7.431159191684978396e+02,1.067930612846177185e+00
7.429959110987111899e+02,1.065200750582483646e+00
7.428758358195958635e+02,1.060641068115087071e+00
7.427557993448473326e+02,1.055326569635485434e+00
7.426357482629570086e+02,1.049480863446054180e+00
7.425157359823339220e+02,1.049145235844754165e+00
7.423956566570986979e+02,1.052625636948749221e+00
7.422756161639373431e+02,1.056781390778533725e+00
7.421556144840159277e+02,1.058495984610472007e+00
7.420355987362943324e+02,1.057271190848009690e+00
7.419155156640541691e+02,1.056841896395330105e+00
7.417954718953678821e+02,1.060026706092572990e+00
7.416754665233662536e+02,1.064111705029076704e+00
7.415553943856268688e+02,1.065288781813379604e+00
7.414353611192947255e+02,1.068510846917073875e+00
7.413153139458538590e+02,1.069825702962745595e+00
7.411953051970257320e+02,1.071787357277907970e+00
7.410752298464811929e+02,1.067556402237252122e+00
7.409551938375306008e+02,1.065638674754085580e+00
7.408351435739587032e+02,1.062622351536067322e+00
7.407151322054003231e+02,1.061771401226378142e+00
7.405950543986068624e+02,1.063243672113716398e+00
7.404750150749304112e+02,1.067790903075460207e+00
7.403549624772628022e+02,1.072847728710278226e+00
7.402349483592731758e+02,1.078264118997096510e+00
7.401149205554734181e+02,1.079529762040490226e+00
7.399948790981017055e+02,1.078486874599638545e+00
7.398747714645858196e+02,1.079726184791498067e+00
7.397547553515177015e+02,1.080297616339578992e+00
7.396347252060464825e+02,1.078483254510617328e+00
7.395146819431960239e+02,1.077888285363559850e+00
7.393946247125738864e+02,1.078294556633605739e+00
7.392745539876801786e+02,1.073281483861469043e+00
7.391545747056879918e+02,1.069748906425500357e+00
