500	2.62052	1.09875
502.538	2.66027	1.03319
505.102	2.68843	0.975307
507.692	2.7087	0.922991
510.309	2.72303	0.87472
512.953	2.73241	0.829469
515.625	2.73724	0.786619
518.325	2.73759	0.745913
521.053	2.73326	0.707452
523.81	2.72396	0.671731
526.596	2.70934	0.639722
529.412	2.68926	0.612986
532.258	2.664	0.593807
535.135	2.63488	0.585243
538.043	2.60507	0.590893
540.984	2.58079	0.613863
543.956	2.57194	0.654234
546.961	2.59038	0.705039
550	2.64345	0.749805
553.073	2.72535	0.7676
556.18	2.81639	0.745796
559.322	2.89462	0.687931
562.5	2.94745	0.608052
565.714	2.973	0.520882
568.966	2.97563	0.436714
572.254	2.96152	0.36093
575.581	2.93631	0.295455
578.947	2.90434	0.240304
582.353	2.86869	0.194623
585.799	2.83145	0.157256
589.286	2.79402	0.127022
592.814	2.75732	0.102821
596.386	2.72192	0.0836762
600	2.68819	0.0687424
603.659	2.65632	0.0572932
607.362	2.62639	0.0487113
611.111	2.59842	0.0424742
614.907	2.57237	0.0381419
618.75	2.54816	0.0353452
622.642	2.52572	0.0337752
626.582	2.50493	0.0331749
630.573	2.48568	0.0333311
634.615	2.46786	0.0340677
638.71	2.45137	0.0352398
642.857	2.43608	0.036729
647.059	2.42191	0.0384387
651.316	2.40876	0.0402911
655.629	2.39653	0.0422233
660	2.38515	0.0441854
664.43	2.37453	0.0461379
668.919	2.36462	0.0480502
673.469	2.35534	0.0498986
678.082	2.34665	0.0516653
682.759	2.33848	0.0533374
687.5	2.33078	0.0549057
692.308	2.32353	0.0563644
697.183	2.31666	0.0577099
702.128	2.31016	0.0589407
707.143	2.30399	0.0600571
712.23	2.29812	0.0610604
717.391	2.29253	0.061953
722.628	2.28718	0.062738
727.941	2.28206	0.0634189
733.333	2.27716	0.0639998
738.806	2.27245	0.0644851
744.361	2.26791	0.064879
750	2.26354	0.0651862
755.725	2.25932	0.0654113
761.538	2.25523	0.0655586
767.442	2.25128	0.0656328
773.438	2.24744	0.0656382
779.528	2.24372	0.0655789
785.714	2.2401	0.0654591
792	2.23657	0.0652828
798.387	2.23313	0.0650538
804.878	2.22978	0.0647756
811.475	2.2265	0.0644518
818.182	2.2233	0.0640857
825	2.22017	0.0636803
831.933	2.2171	0.0632388
838.983	2.2141	0.0627638
846.154	2.21115	0.0622582
853.448	2.20826	0.0617244
860.87	2.20542	0.0611649
868.421	2.20263	0.0605818
876.106	2.19989	0.0599774
883.929	2.19719	0.0593535
891.892	2.19454	0.0587122
900	2.19193	0.0580552
908.257	2.18936	0.057384
916.667	2.18683	0.0567004
925.234	2.18434	0.0560058
933.962	2.18188	0.0553015
942.857	2.17946	0.0545888
951.923	2.17708	0.0538689
961.165	2.17473	0.0531431
970.588	2.17241	0.0524122
980.198	2.17012	0.0516773
990	2.16787	0.0509394
1000	2.16564	0.0501992
