Wavelength,Intensity
3.217508849999999825e+02,9.598079992976308317e-01
3.218581848000000036e+02,9.690812466911932210e-01
3.219654540999999881e+02,9.746772149248534856e-01
3.220727539000000093e+02,9.953360903810543059e-01
3.221800536999999736e+02,9.560237747244376694e-01
3.222873839999999745e+02,9.601658675876352245e-01
3.223946837999999957e+02,9.619530770878741421e-01
3.225020142000000192e+02,9.753890666987592439e-01
3.226093445000000202e+02,9.669728939196593487e-01
3.227167053000000010e+02,9.669440047370569946e-01
3.228240356000000020e+02,9.629687199460981173e-01
3.229313965000000053e+02,9.130149651311215697e-01
3.230387572999999861e+02,9.261300241785291876e-01
3.231461181999999894e+02,9.477361470260623477e-01
3.232535095000000069e+02,9.208662938785252550e-01
3.233609008999999901e+02,9.005080997004273335e-01
3.234682922000000076e+02,9.318926008098463720e-01
3.235756835999999907e+02,9.329903053861621220e-01
3.236830749999999739e+02,9.513595716267556623e-01
3.237904968000000281e+02,9.489697434068450344e-01
3.238979186999999911e+02,9.546953504864461593e-01
3.240053406000000109e+02,9.424557050458698404e-01
3.241127930000000106e+02,9.921606118546353326e-01
3.242202148000000079e+02,9.817606533318514739e-01
3.243276672000000076e+02,9.838853415720006934e-01
3.244351196000000073e+02,1.037418115900867521e+00
3.245426024999999868e+02,9.965109422484300650e-01
3.246500548999999864e+02,9.789560196521950308e-01
3.247575378000000228e+02,9.775572458762363803e-01
3.248650208000000248e+02,8.977105528317063099e-01
3.249725037000000043e+02,9.533814593314395847e-01
3.250800171000000205e+02,9.452589127019691562e-01
3.251875304999999798e+02,9.467650861007935736e-01
3.252950438999999960e+02,8.905426017532063199e-01
3.254025573999999779e+02,9.488297729462754626e-01
3.255100707999999941e+02,9.115011692160548407e-01
3.256176146999999901e+02,9.461312807700444916e-01
3.257251587000000086e+02,9.162851377515001117e-01
3.258327026000000046e+02,9.316121573601952033e-01
3.259402466000000231e+02,9.147694796362118019e-01
3.260478209999999990e+02,9.466403231102803462e-01
3.261553954999999974e+02,9.331863927940816650e-01
3.262629699999999957e+02,9.701285161650959887e-01
3.263705444000000284e+02,9.483056139862838796e-01
3.264781494000000066e+02,9.842651729778058023e-01
3.265857543999999848e+02,9.704899590258651010e-01
3.266933594000000198e+02,9.888978544126053594e-01
3.268009643999999980e+02,9.810424794466305887e-01
3.269085999000000129e+02,9.699603121885504997e-01
3.270162048000000254e+02,9.499308521940806882e-01
3.271238402999999835e+02,9.766493401682532216e-01
3.272314757999999983e+02,8.684002632546671263e-01
3.273391417999999931e+02,9.264018922655046229e-01
3.274468079000000102e+02,9.391667116132358384e-01
3.275544434000000251e+02,9.373531992142916103e-01
3.276621398999999997e+02,9.330528700170280798e-01
3.277698058999999944e+02,9.481206675760300850e-01
3.278775024000000258e+02,9.188466829097416966e-01
3.279851684999999861e+02,9.414696090667581396e-01
3.280928954999999974e+02,9.441754719158556020e-01
3.282005919999999719e+02,9.486400440451945304e-01
3.283082886000000258e+02,9.428898473564009119e-01
3.284160155999999802e+02,9.760330593700274893e-01
3.285237427000000139e+02,9.717156801419336576e-01
3.286314697000000251e+02,9.848437587036410479e-01
3.287392272999999818e+02,9.648749527444563379e-01
3.288469848999999954e+02,9.878753222510916476e-01
3.289547423999999864e+02,9.728041886368598012e-01
3.290625000000000000e+02,9.710323423858964187e-01
3.291702576000000136e+02,9.413087800813417783e-01
3.292780457000000069e+02,9.525999329641586799e-01
3.293858336999999779e+02,8.849485955779367030e-01
3.294936218000000281e+02,9.293268621208984337e-01
3.296014099000000215e+02,9.115109804855943132e-01
3.297092284999999947e+02,9.493702263076534420e-01
3.298170165999999881e+02,9.141239038202638723e-01
3.299248352000000182e+02,9.510823025399128827e-01
3.300326843000000281e+02,9.088998090136509722e-01
3.301405029000000013e+02,9.403256933414081420e-01
3.302483520999999769e+02,9.527307556911681630e-01
3.303562011999999868e+02,9.542923192856500592e-01
3.304640502999999967e+02,9.477302150146589277e-01
3.305719298999999864e+02,9.854734497662575032e-01
3.306797791000000188e+02,9.582828399255436391e-01
3.307876587000000086e+02,9.897457331026047189e-01
3.308955382999999983e+02,9.515105365024300044e-01
3.310034484999999904e+02,9.761033792881397275e-01
3.311113280999999802e+02,9.645649854566594739e-01
3.312192382999999722e+02,9.538189399921150891e-01
3.313271483999999987e+02,9.202129105539978982e-01
3.314350585999999907e+02,9.170135083518509145e-01
3.315429993000000195e+02,9.286970189018395327e-01
3.316509093999999891e+02,9.295067576631744766e-01
3.317588501000000178e+02,8.909726505131383423e-01
3.318668213000000264e+02,9.449623054791094212e-01
3.319747619999999984e+02,8.930122612888198308e-01
3.320827332000000069e+02,9.420984921554889091e-01
3.321907042999999931e+02,9.520668803960645743e-01
3.322986755000000016e+02,9.427271201393448985e-01
3.324066467000000102e+02,9.430356901681722359e-01
3.325146483999999987e+02,9.493090037438377538e-01
