Wavelength,Intensity
7.445563269169639398e+02,9.616686847826692031e-01
7.444363329395589517e+02,9.391949185124133237e-01
7.443162708104982812e+02,9.433431504269520484e-01
7.441962478490627291e+02,9.392999542905896559e-01
7.440762099893947834e+02,9.377587446790770498e-01
7.439561577111620636e+02,9.454483392021675314e-01
7.438361441661244271e+02,9.332590392622347464e-01
7.437161162336117286e+02,9.327588971803367768e-01
7.435960735002028059e+02,9.361687333214238071e-01
7.434760168908780997e+02,9.375348265442017270e-01
7.433559985967481225e+02,9.373178716891644724e-01
7.432359660117506337e+02,9.383952580251765374e-01
7.431159191684978396e+02,9.396539686742849673e-01
7.429959110987111899e+02,9.405769735173901136e-01
7.428758358195958635e+02,9.377646195844860921e-01
7.427557993448473326e+02,9.360328306649403629e-01
7.426357482629570086e+02,9.325336004897701869e-01
7.425157359823339220e+02,9.273980427857854147e-01
7.423956566570986979e+02,9.272931313429021438e-01
7.422756161639373431e+02,9.303906859003709950e-01
7.421556144840159277e+02,9.334945767335143252e-01
7.420355987362943324e+02,9.325788519967294077e-01
7.419155156640541691e+02,9.290139066405140866e-01
7.417954718953678821e+02,9.258437692938389363e-01
7.416754665233662536e+02,9.251081893431342129e-01
7.415553943856268688e+02,9.266317845175658929e-01
7.414353611192947255e+02,9.309376041431978166e-01
7.413153139458538590e+02,9.330564730466245349e-01
7.411953051970257320e+02,9.319420709859757013e-01
7.410752298464811929e+02,9.281201787781235835e-01
7.409551938375306008e+02,9.239911673024876482e-01
7.408351435739587032e+02,9.211320663246705953e-01
7.407151322054003231e+02,9.239076618972710264e-01
7.405950543986068624e+02,9.248152097834377861e-01
7.404750150749304112e+02,9.238379514829002659e-01
7.403549624772628022e+02,9.233358177344473949e-01
7.402349483592731758e+02,9.261072046748967113e-01
7.401149205554734181e+02,9.275544830388352535e-01
7.399948790981017055e+02,9.285251034836979889e-01
7.398747714645858196e+02,9.281397463629323941e-01
7.397547553515177015e+02,9.276854657379808300e-01
7.396347252060464825e+02,9.248591031845244670e-01
7.395146819431960239e+02,9.233190328422076210e-01
7.393946247125738864e+02,9.179601508159269674e-01
7.392745539876801786e+02,9.159196162053666601e-01
7.391545747056879918e+02,9.155005685433091900e-01
7.390345294900396311e+02,9.161247272248914664e-01
7.389144708424018972e+02,9.119577406601009351e-01
7.387943983545185347e+02,9.069766150624417600e-01
