Wavelength,Intensity
7.445563269169639398e+02,9.613294596353766375e-01
7.444363329395589517e+02,9.487790724081416327e-01
7.443162708104982812e+02,9.513271046321790658e-01
7.441962478490627291e+02,9.476276572136307363e-01
7.440762099893947834e+02,9.487689759105235598e-01
7.439561577111620636e+02,9.552012784413496105e-01
7.438361441661244271e+02,9.573163188042042027e-01
7.437161162336117286e+02,9.560676392897436981e-01
7.435960735002028059e+02,9.525007420937126046e-01
7.434760168908780997e+02,9.456571209318805904e-01
7.433559985967481225e+02,9.406533382811794741e-01
7.432359660117506337e+02,9.393340051700074245e-01
7.431159191684978396e+02,9.459699548661463231e-01
7.429959110987111899e+02,9.489621952968563257e-01
7.428758358195958635e+02,9.499097333788324438e-01
7.427557993448473326e+02,9.506663575778370179e-01
7.426357482629570086e+02,9.525666610631917663e-01
7.425157359823339220e+02,9.531025979176482865e-01
7.423956566570986979e+02,9.556281333354200713e-01
7.422756161639373431e+02,9.589249878482706269e-01
7.421556144840159277e+02,9.592190450202719987e-01
7.420355987362943324e+02,9.583100911746293971e-01
7.419155156640541691e+02,9.611106701098578453e-01
7.417954718953678821e+02,9.652577706135564428e-01
7.416754665233662536e+02,9.697777660790843912e-01
7.415553943856268688e+02,9.689147650423859393e-01
7.414353611192947255e+02,9.644663371877056912e-01
7.413153139458538590e+02,9.602234088398595713e-01
7.411953051970257320e+02,9.576479206359463925e-01
7.410752298464811929e+02,9.544159228023390007e-01
7.409551938375306008e+02,9.513185644166370913e-01
7.408351435739587032e+02,9.495230975535742246e-01
7.407151322054003231e+02,9.502376795824173383e-01
7.405950543986068624e+02,9.494077081612599667e-01
7.404750150749304112e+02,9.489077658118832970e-01
7.403549624772628022e+02,9.487197015966294389e-01
7.402349483592731758e+02,9.493021834388338798e-01
7.401149205554734181e+02,9.490258791371587455e-01
7.399948790981017055e+02,9.506311516691172692e-01
7.398747714645858196e+02,9.552114715273235523e-01
7.397547553515177015e+02,9.578552151503887391e-01
