Wavelength,Intensity
3.217508849999999825e+02,8.559871743112050790e-01
3.218581848000000036e+02,8.110448058107326830e-01
3.219654540999999881e+02,8.560751865733553512e-01
3.220727539000000093e+02,8.503088231950608478e-01
3.221800536999999736e+02,8.533757168591256104e-01
3.222873839999999745e+02,8.044766356324636325e-01
3.223946837999999957e+02,8.553640615636871614e-01
3.225020142000000192e+02,7.664207465055471458e-01
3.226093445000000202e+02,8.574312804396293508e-01
3.227167053000000010e+02,7.326884544594541859e-01
3.228240356000000020e+02,8.317577242557183670e-01
3.229313965000000053e+02,7.766250773822330755e-01
3.230387572999999861e+02,8.338271761490093636e-01
3.231461181999999894e+02,8.076880057863426998e-01
3.232535095000000069e+02,8.550956819615264104e-01
3.233609008999999901e+02,8.111834194785673136e-01
3.234682922000000076e+02,8.496076640306455818e-01
3.235756835999999907e+02,8.057061056060584869e-01
3.236830749999999739e+02,8.498326279689587537e-01
3.237904968000000281e+02,8.146025702446628713e-01
3.238979186999999911e+02,8.520215488090612244e-01
3.240053406000000109e+02,8.251677919181262810e-01
3.241127930000000106e+02,8.413219506617104493e-01
3.242202148000000079e+02,8.338485151919835525e-01
3.243276672000000076e+02,8.592533264361363887e-01
3.244351196000000073e+02,8.328309398544304631e-01
3.245426024999999868e+02,8.767214624740082840e-01
3.246500548999999864e+02,8.396539234805426855e-01
3.247575378000000228e+02,8.563032121359722693e-01
3.248650208000000248e+02,7.773249481790691640e-01
3.249725037000000043e+02,8.265814437481120436e-01
3.250800171000000205e+02,7.231425642733364523e-01
3.251875304999999798e+02,8.354282134408498317e-01
3.252950438999999960e+02,7.714870976423112703e-01
3.254025573999999779e+02,8.387278714655919121e-01
3.255100707999999941e+02,7.900432678236334327e-01
3.256176146999999901e+02,8.536889379792222954e-01
3.257251587000000086e+02,7.970930667366603606e-01
3.258327026000000046e+02,8.492507810449899663e-01
3.259402466000000231e+02,8.070820447538126219e-01
3.260478209999999990e+02,8.718856531833278911e-01
3.261553954999999974e+02,8.151002015656519939e-01
3.262629699999999957e+02,8.733983012957027281e-01
3.263705444000000284e+02,7.988289986273819920e-01
3.264781494000000066e+02,8.719367929835315500e-01
3.265857543999999848e+02,8.144571015372326084e-01
3.266933594000000198e+02,8.599598818931730726e-01
3.268009643999999980e+02,8.336467771702458229e-01
3.269085999000000129e+02,8.510546162093575173e-01
3.270162048000000254e+02,7.633727807669340448e-01
3.271238402999999835e+02,8.153793382000288359e-01
3.272314757999999983e+02,7.272788419269483606e-01
3.273391417999999931e+02,8.534442748731023709e-01
3.274468079000000102e+02,8.060480759458514832e-01
3.275544434000000251e+02,8.198537100611299477e-01
3.276621398999999997e+02,7.825725723262421107e-01
3.277698058999999944e+02,8.480352298822725343e-01
3.278775024000000258e+02,7.996377866897876885e-01
3.279851684999999861e+02,8.578702897987678933e-01
3.280928954999999974e+02,8.318067724636474258e-01
3.282005919999999719e+02,8.543672551182716068e-01
3.283082886000000258e+02,8.328478549591694646e-01
3.284160155999999802e+02,8.531390930853608445e-01
3.285237427000000139e+02,8.230414441375520918e-01
3.286314697000000251e+02,8.553515438395770110e-01
3.287392272999999818e+02,8.427054962098929902e-01
3.288469848999999954e+02,8.489358114407647982e-01
3.289547423999999864e+02,8.247519310046733665e-01
3.290625000000000000e+02,8.601128819573629070e-01
3.291702576000000136e+02,7.471457953754157000e-01
3.292780457000000069e+02,8.180758067955065105e-01
3.293858336999999779e+02,7.438133708948592160e-01
3.294936218000000281e+02,8.509924490667938324e-01
3.296014099000000215e+02,7.391748899810066664e-01
3.297092284999999947e+02,8.486268882225078691e-01
3.298170165999999881e+02,7.789148307819632189e-01
3.299248352000000182e+02,8.502009350413951561e-01
3.300326843000000281e+02,7.664419389764549617e-01
3.301405029000000013e+02,8.553376740769428332e-01
3.302483520999999769e+02,8.278775685951939023e-01
3.303562011999999868e+02,8.600116969220935603e-01
3.304640502999999967e+02,8.468257156182943390e-01
3.305719298999999864e+02,8.598608246683590028e-01
3.306797791000000188e+02,8.403445947563386031e-01
3.307876587000000086e+02,8.598031892101414275e-01
3.308955382999999983e+02,8.411606515635240422e-01
3.310034484999999904e+02,8.692345332304777239e-01
3.311113280999999802e+02,8.404151443813951960e-01
3.312192382999999722e+02,8.397354230322702229e-01
3.313271483999999987e+02,7.587720270816321610e-01
3.314350585999999907e+02,8.128482874092304300e-01
3.315429993000000195e+02,7.537517625926257736e-01
3.316509093999999891e+02,8.436606026522307511e-01
3.317588501000000178e+02,7.733502277473673914e-01
3.318668213000000264e+02,8.258515481709868267e-01
3.319747619999999984e+02,7.982996388480193550e-01
3.320827332000000069e+02,8.404109358781159944e-01
3.321907042999999931e+02,8.166534084712827601e-01
3.322986755000000016e+02,8.505377733896174464e-01
3.324066467000000102e+02,8.391581149451826649e-01
3.325146483999999987e+02,8.540176347192093287e-01
3.326226196000000073e+02,8.516129126268311422e-01
3.327306518999999980e+02,8.659640428420236624e-01
3.328386535999999865e+02,8.186599017354260210e-01
3.329466552999999749e+02,8.668202498383575927e-01
3.330546875000000000e+02,8.081468505386265599e-01
3.331627197000000251e+02,8.091746507023386270e-01
3.332707520000000159e+02,7.551125175458238692e-01
3.333788147000000208e+02,8.223447769708902566e-01
3.334868468999999891e+02,7.370330418470807388e-01
3.335949097000000165e+02,7.966913905910227856e-01
3.337029724000000215e+02,7.637205350680380533e-01
3.338110656999999719e+02,8.173623222290299362e-01
3.339191283999999769e+02,7.479840915074735808e-01
3.340272216999999841e+02,8.277497501012758274e-01
3.341353149000000258e+02,8.092161392015997379e-01
3.342434081999999762e+02,8.501584287082665226e-01
3.343515320000000202e+02,8.245121162421160665e-01
3.344596252000000050e+02,8.707362020320690288e-01
3.345677489999999921e+02,8.181012080696177247e-01
3.346759033000000159e+02,8.568968658033039310e-01
3.347840271000000030e+02,8.295205789986446199e-01
